platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Pilares,Pilares S.A,AON,Vicuña Mackenna 7244,I-SVS-2131,581705
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Carrera 4,I-ALM-2275,563196
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Indico,I-ALM-1453,563196
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Los Cactus,I-ALM-2342,563196
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Lyon Bilbao,I-ALM-2211,563196
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,PLP 2,I-ALM-2306,563196
Meta,Almagro Inmobiliaria,Almagro S.A,AON,San Eugenio 2,I-ALM-2227,563195
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,PLP 1,I-ALM-2226,563113
Google Ads,Pilares,Arcilla Roja,Santiago Centro,Franklin,I-ALM-2212,550948
Meta,Socovesa,Consorcio Inmobiliario Macul,Marca,Las Palmas,I-STG-2205,525421
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Las Pataguas,I-STG-2366,525421
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Los Coihues,I-STG-2325,525421
Meta,Socovesa,Pilares S.A,Marca,Marathon,I-SVS-2349,525421
Meta,Socovesa,Sociedad Comercializadora Metropolitana,Marca,Coipue,I-STG-2229,525421
Meta,Socovesa,Inmobiliaria El Descubridor,Marca,Pajaritos,I-STG-2204,525420
